id,category,topic,description_en,description_hi,advice_en,advice_hi
1,Common Diseases,Diabetes,Diabetes can cause serious problems if not treated in time. It is especially common in elderly.,"Diabetes के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से गर्भवती महिलाओं में आम है।","To prevent Diabetes, maintain hygiene and consult a health worker.",उचित जागरूकता और समय पर देखभाल से Diabetes के प्रभाव को कम किया जा सकता है।
2,Common Diseases,Typhoid,Typhoid is a health issue that commonly affects people in rural areas. It is especially common in urban slums.,"Typhoid गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से गर्भवती महिलाओं में आम है।","In case of Typhoid, immediately visit the nearest clinic.",यदि Typhoid हो तो तुरंत नजदीकी क्लिनिक जाएं।
3,Common Diseases,Diabetes,"Diabetes symptoms include pain, fever, and weakness. It is especially common in pregnant women.",Diabetes एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से बुजुर्गों में आम है।,"To prevent Diabetes, maintain hygiene and consult a health worker.",नियमित जांच कराएं और सरकारी सहायता का उपयोग करें Diabetes के लिए।
4,Common Diseases,Cold,"Cold spreads through unsafe water, poor hygiene, or insects. It is especially common in rural communities.","Cold गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से शहरी झुग्गियों में आम है।",Get regular checkups and use available government support to deal with Cold.,Cold से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
5,Common Diseases,Fever,Fever can cause serious problems if not treated in time. It is especially common in rural communities.,"Fever के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से ग्रामीण समुदायों में आम है।",Get regular checkups and use available government support to deal with Fever.,उचित जागरूकता और समय पर देखभाल से Fever के प्रभाव को कम किया जा सकता है।
6,Common Diseases,Malaria,Malaria is a health issue that commonly affects people in rural areas. It is especially common in elderly.,"Malaria गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से ग्रामीण समुदायों में आम है।","To prevent Malaria, maintain hygiene and consult a health worker.",Malaria से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
7,Common Diseases,Cold,Many individuals suffer from Cold due to lack of awareness. It is especially common in elderly.,जागरूकता की कमी के कारण कई लोग Cold से पीड़ित होते हैं। यह विशेष रूप से गर्भवती महिलाओं में आम है।,"Use clean water, proper diet, and follow medical advice to manage Cold.",नियमित जांच कराएं और सरकारी सहायता का उपयोग करें Cold के लिए।
8,Common Diseases,Malaria,"Malaria symptoms include pain, fever, and weakness. It is especially common in children.","Malaria गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से गर्भवती महिलाओं में आम है।","In case of Malaria, immediately visit the nearest clinic.",उचित जागरूकता और समय पर देखभाल से Malaria के प्रभाव को कम किया जा सकता है।
9,Common Diseases,Fever,Fever is a health issue that commonly affects people in rural areas. It is especially common in rural communities.,"Fever के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से गर्भवती महिलाओं में आम है।",Get regular checkups and use available government support to deal with Fever.,यदि Fever हो तो तुरंत नजदीकी क्लिनिक जाएं।
10,Common Diseases,Cold,"Cold spreads through unsafe water, poor hygiene, or insects. It is especially common in pregnant women.",Cold एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से गर्भवती महिलाओं में आम है।,Get regular checkups and use available government support to deal with Cold.,Cold से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
